Date,4/25/2011,
Time,10:41:22,
Y_Unit_Label,Acceleration (g),
X_Dimension,Time (s),
X0,40:59.2,
Delta_X,0.0005,
***End_of_Header***,,
X_Value,Acceleration - Dev1_ai0,Comment
0.4725,0.288394,
0.473,0.279525,
0.4735,0.269687,
0.474,0.259665,
0.4745,0.252021,
0.475,0.242281,
0.4755,0.232718,
0.476,0.223233,
0.4765,0.214299,
0.477,0.204211,
0.4775,0.196319,
0.478,0.186827,
0.4785,0.176413,
0.479,0.16793,
0.4795,0.158308,
0.48,0.148843,
0.4805,0.139411,
0.481,0.127725,
0.4815,0.11845,
0.482,0.108651,
0.4825,0.099121,
0.483,0.088608,
0.4835,0.079366,
0.484,0.069357,
0.4845,0.058838,
0.485,0.048351,
0.4855,0.038401,
0.486,0.027987,
0.4865,0.018528,
0.487,0.008388,
0.4875,-0.000245,
0.488,-0.010948,
0.4885,-0.021009,
0.489,-0.030336,
0.4895,-0.041307,
0.49,-0.050216,
0.4905,-0.060198,
0.491,-0.071071,
0.4915,-0.079888,
0.492,-0.090093,
0.4925,-0.099466,
0.493,-0.107575,
0.4935,-0.11801,
0.494,-0.128188,
0.4945,-0.136913,
0.495,-0.146542,
0.4955,-0.156714,
0.496,-0.166743,
0.4965,-0.174812,
0.497,-0.183786,
0.4975,-0.193107,
0.498,-0.201733,
0.4985,-0.212901,
0.499,-0.221901,
0.4995,-0.229644,
